severity,host,finding,detail,source
low,algofox.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,alerts.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-connect-docs.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-dashboard.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-docs.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-t1-cdn.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-t1.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api.fyers.in,Missing security headers,"Content-Security-Policy, Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, Referrer-Policy",builtin
low,app.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,assets.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,bo-login.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,cdn.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,assist.fyers.in,Missing security headers,Referrer-Policy,builtin
low,charts.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,clib.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,cliq.fyers.in,Missing security headers,Referrer-Policy,builtin
low,community.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,connect.fyers.in,Missing security headers,Referrer-Policy,builtin
low,data.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,debt.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,dev.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,direct.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,fiagpt.fyers.in,Missing security headers,X-Frame-Options,builtin
low,forms.fyers.in,Missing security headers,"X-Frame-Options, Referrer-Policy",builtin
low,fundtransfer.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,fyers.in,Missing security headers,Content-Security-Policy,builtin
low,insights.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,instaoptions.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,int-invest.fyers.in,Missing security headers,"Content-Security-Policy, Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, Referrer-Policy",builtin
low,ipo.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,journal.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,learn.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,login.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,mail.fyers.in,Missing security headers,Content-Security-Policy,builtin
